road,km,type,model_type,name,length,condition,lat,lon,intersec_to,id
N1,0.0,sourcesink,sourcesink,sourcesink,0.0,,23.7060278,90.443333,,0
N1,0.0,intersection,intersection,Start of Road  after Jatrabari Flyover infront of filling station.,0.0,,23.7060278,90.443333,N8,1
N1,0.9,link,link,link,1794.0,,23.702383230000002,90.45109703999995,,2
N1,1.8,Box Culvert,bridge,.,11.3,A,23.69873866,90.4588610799999,,3
N1,3.3625,link,link,link,3116.0,,23.6967012481818,90.47331799909085,,4
N1,4.925,Box Culvert,bridge,.,6.6,A,23.6946638363636,90.4877749181818,,5
N1,6.4625,link,link,link,3072.0,,23.6983597181818,90.5017485590909,,6
N1,8.0,intersection,intersection,Km post missing,0.0,,23.7020556,90.5157222,N2,7
N1,8.0,intersection,intersection,Km post missing,0.0,,23.7020556,90.5157222,N2,8
N1,8.488,link,link,link,778.0,,23.70355774628375,90.51946817317565,,9
N1,8.976,PC Girder Bridge,bridge,KANCHPUR PC GIRDER BRIDGE,397.0,C,23.7050598925675,90.5232141463513,,10
N1,9.7595,link,link,link,1364.0,,23.7007299897392,90.529156563228,,11
N1,10.543,Box Culvert,bridge,KATCHPUR BOX CULVERT,8.0,B,23.6964000869109,90.5350989801047,,12
N1,10.711500000000001,link,link,link,330.0,,23.695395350523498,90.5363365287958,,13
N1,10.88,Box Culvert,bridge,NOYAPARA CULVERT,6.3,A,23.6943906141361,90.5375740774869,,14
N1,10.8825,link,link,link,2.0,,23.694375707068048,90.53759243874345,,15
N1,10.885,intersection,intersection,Box culvert,0.0,,23.6943608,90.5376108,N105,16
N1,10.891,link,link,link,9.0,,23.6943315934579,90.53765908598129,,17
N1,10.897,Box Culvert,bridge,ADUPUR CULVERT,6.3,A,23.6943023869158,90.5377073719626,,18
N1,11.096499999999999,link,link,link,392.0,,23.693331269392452,90.5393128808411,,19
N1,11.296,Box Culvert,bridge,NAYABARI KASPUR BOX CULVERT,8.3,A,23.6923601518691,90.5409183897196,,20
N1,11.552,link,link,link,503.0,,23.6916360416921,90.54319044273855,,21
N1,11.808,Box Culvert,bridge,NAYABARI BOX CULVERT,10.6,B,23.6909119315151,90.5454624957575,,22
N1,12.0235,link,link,link,421.0,,23.68966212876775,90.54701051241955,,23
