,0
N102,"POLYGON ((91.09868781344704 23.487575296091357, 91.10294136474836 23.487838089313037, 91.10478027120026 23.48797135174647, 91.11683730723261 23.48890525836562, 91.11700319852864 23.4889218654165, 91.11748713879355 23.488946028183253, 91.11748696925277 23.48894851922611, 91.12224258240127 23.489272187031432, 91.12350527894341 23.48949947604564, 91.12507725114479 23.487160108983893, 91.12556669873074 23.48635165734438, 91.12698339873074 23.48374055734438, 91.12774488647976 23.481934157519465, 91.12813933133167 23.4800139082705, 91.12815157499202 23.478053603699234, 91.12778114694382 23.476128577210986, 91.1270422825292 23.474312806494133, 91.12596337589328 23.47267607059903, 91.12458588881302 23.471281268368234, 91.12296275734438 23.470182001269258, 91.12115635751947 23.46942051352024, 91.1192361082705 23.46902606866833, 91.11727580369923 23.469013825007977, 91.11535077721098 23.469384253056184, 91.11353500649413 23.470123117470795, 91.11189827059903 23.471202024106717, 91.11050346836824 23.47257951118699, 91.10940420126926 23.474202642655623, 91.1082131026626 23.476397939875785, 91.10552251528748 23.48040200017446, 91.10030286450618 23.48596200790538, 91.09985251491962 23.48628208349991, 91.09866610241339 23.487576731050847, 91.09868781344704 23.487575296091357))"
N104,"POLYGON ((91.38750511759959 23.017454713636685, 91.3978621927515 23.010030115881957, 91.40454405852205 23.00528788797257, 91.4051515935933 23.005046369598396, 91.40690139067718 23.003876690539535, 91.40703283729856 23.003767164830425, 91.40729558390555 23.00355229017026, 91.40711390592973 23.00328337305, 91.40572067328002 23.001904298467853, 91.40408516710067 23.000823528623386, 91.402270238977 23.00008259689561, 91.40034563557893 22.999709976875312, 91.39617903557892 22.99932107687531, 91.39519863996215 22.999277930357223, 91.38975413996215 22.999305730357225, 91.38953954881445 22.999309129150365, 91.38131095096507 22.9995278, 91.3803604 22.9995278, 91.37985898295707 22.999540378863937, 91.378040207944 22.999631690202108, 91.37553415963129 23.00142818201112, 91.37491604674263 23.001909011800407, 91.37053150853451 23.005604190924224, 91.36959159579033 23.006382939860078, 91.36943063144747 23.00651919196304, 91.3644609632071 23.01081665089911, 91.36358097053318 23.01151132491879, 91.36187873067885 23.013227230993127, 91.35894298687651 23.017007917414315, 91.36818424615959 23.019179286358284, 91.36919985675397 23.019363203814784, 91.37244985675396 23.019779903814783, 91.37422301704292 23.019848521136062, 91.38061126630211 23.019527800000002, 91.3814438 23.019527800000002, 91.38170945118554 23.019524270849637, 91.3851582183752 23.01943262159598, 91.38750511759959 23.017454713636685))"
N105,"POLYGON ((90.54337746590535 23.702559753576676, 90.5451586959585 23.701482348312258, 90.54551541488559 23.70137406682771, 90.54552686081013 23.701370584955747, 90.54780466081012 23.700676184955746, 90.54779849237157 23.70065595098494, 90.54918382308696 23.70020048130659, 90.55062822308696 23.69956158130659, 90.55226651711567 23.69864415714484, 90.55370442883543 23.69743664552866, 90.55753812883543 23.69354774552866, 90.55808170634407 23.692949835499512, 90.55890939918133 23.691962006061743, 90.55535220782394 23.685559573813013, 90.55423674384797 23.683947530377605, 90.55282821912658 23.682584078131057, 90.55118076247494 23.681521613778575, 90.54935768472825 23.68080096722938, 90.54742904574191 23.68044983252622, 90.5454689620306 23.680481703578824, 90.54355275851209 23.6808953556005, 90.54175407381301 23.681674892176048, 90.5401420303776 23.68279035615203, 90.53877857813106 23.68419888087341, 90.53771611377857 23.685846337525057, 90.53699546722937 23.687669415271753, 90.53664433252622 23.68959805425808, 90.53667620357882 23.691558137969395, 90.5370898556005 23.693474341487896, 90.53786939217605 23.695273026186985, 90.54226848128323 23.703190753161746, 90.54236845328307 23.70337894695814, 90.54337746590535 23.702559753576676))"
N2,"POLYGON ((90.5097942166527 23.710133122954215, 90.5123618097295 23.712210966289334, 90.51268859774088 23.712501480831442, 90.51499808788354 23.71403952224382, 90.51719248788353 23.71509502224382, 90.51905685433408 23.715773392174484, 90.52101845084037 23.71607035542352, 90.52300006802186 23.715974223374822, 90.52492370847462 23.715488779832, 90.5267136567866 23.71463313208604, 90.52844989973336 23.71357988068319, 90.528939044482 23.712470907043837, 90.52975849612301 23.711472402330227, 90.5306825953251 23.709743534323685, 90.53125165280403 23.707867603220198, 90.5314438 23.705916700000035, 90.53125165280404 23.703965796779872, 90.53068259532513 23.70208986567638, 90.52975849612305 23.700360997669833, 90.5285148678119 23.69884563218816, 90.52699950233023 23.697602003876995, 90.52527063432369 23.6966779046749, 90.52339470322019 23.696108847195973, 90.52144380000004 23.695916699999998, 90.51949289677988 23.69610884719596, 90.51761696567638 23.69667790467487, 90.51588809766983 23.697602003876955, 90.51437273218816 23.698845632188107, 90.51340053218816 23.699817832188106, 90.51222052706042 23.701239139354985, 90.51132209195558 23.702853246082082, 90.50848266676161 23.709290701865488, 90.5097942166527 23.710133122954215))"
N8,"POLYGON ((90.43931181752825 23.69687192256914, 90.43760286034556 23.69783234396994, 90.4361141092163 23.699107712149903, 90.43490277601146 23.700649015425117, 90.43401541158676 23.702397022375088, 90.43348611685943 23.704284558073024, 90.43333523232899 23.706239085580588, 90.43356855640333 23.70818549350178, 90.43417712256914 23.71004898247175, 90.43513754396993 23.711757939654433, 90.43542265312335 23.712090750666015, 90.43646514092684 23.712077734494915, 90.43838289174768 23.711671316349943, 90.44018450527744 23.710898572790484, 90.44180074651858 23.709789199918166, 90.44316950422656 23.70838583031033, 90.44423817781029 23.706742394673988, 90.44496569874325 23.704922049318995, 90.445324108804 23.702994749096483, 90.44529963449492 23.701034559073154, 90.44458001919912 23.69455817379121, 90.43931181752825 23.69687192256914))"
N1,"POLYGON ((90.51222052706042 23.701239139354985, 90.51132209195558 23.702853246082082, 90.50848266676161 23.709290701865488, 90.5097942166527 23.710133122954215, 90.5123618097295 23.712210966289334, 90.51268859774088 23.712501480831442, 90.51499808788354 23.71403952224382, 90.51719248788353 23.71509502224382, 90.51905685433408 23.715773392174484, 90.52101845084037 23.71607035542352, 90.52300006802186 23.715974223374822, 90.52492370847462 23.715488779832, 90.5267136567866 23.71463313208604, 90.52844989973336 23.71357988068319, 90.528939044482 23.712470907043837, 90.52975849612301 23.711472402330227, 90.5306825953251 23.709743534323685, 90.53125165280403 23.707867603220198, 90.5314438 23.705916700000035, 90.53125165280404 23.703965796779872, 90.53068259532513 23.70208986567638, 90.52975849612305 23.700360997669833, 90.5285148678119 23.69884563218816, 90.52699950233023 23.697602003876995, 90.52527063432369 23.6966779046749, 90.52339470322019 23.696108847195973, 90.52144380000004 23.695916699999998, 90.51949289677988 23.69610884719596, 90.51761696567638 23.69667790467487, 90.51588809766983 23.697602003876955, 90.51437273218816 23.698845632188107, 90.51340053218816 23.699817832188106, 90.51222052706042 23.701239139354985))"
N102,"POLYGON ((91.12389284067478 24.04768374333652, 91.12344937987977 24.04648469822876, 91.12245841332812 24.044852030036463, 91.12117512601287 24.04343753585154, 91.11964632738051 24.042292811048664, 91.11792778219773 24.0414596108402, 91.1160821764646 24.040968327204702, 91.1093877764646 24.039856927204703, 91.10938600378662 24.039867604742454, 91.10883500873905 24.039765891506804, 91.10355557769056 24.039129847892422, 91.1040398502279 24.043272018327723, 91.1041418495464 24.043944978278972, 91.1046667 24.046757934878553, 91.1046667 24.0506111, 91.10485884719597 24.052562003220164, 91.10542790467488 24.05443793432365, 91.10635200387698 24.056166802330196, 91.10759563218814 24.057682167811866, 91.1091109976698 24.058925796123027, 91.11083986567635 24.059849895325115, 91.11271579677984 24.060418952804035, 91.1146667 24.060611100000003, 91.11661760322016 24.060418952804035, 91.11849353432365 24.059849895325115, 91.1202224023302 24.058925796123027, 91.12173776781187 24.057682167811866, 91.12298139612302 24.056166802330196, 91.12390549532512 24.05443793432365, 91.12447455280403 24.052562003220164, 91.1246667 24.0506111, 91.1246667 24.0475834339711, 91.12389284067478 24.04768374333652))"
N105,"POLYGON ((90.55976869087094 23.793293344194176, 90.56150071663508 23.794152007169394, 90.5633655960461 23.794661359832098, 90.5643377960461 23.794828059832096, 90.5646132573839 23.794871347923355, 90.56588177668142 23.79505260799155, 90.56678672152402 23.795936209916412, 90.57177626100155 23.802655723590302, 90.57292210590677 23.803948556938344, 90.57368176870331 23.804669300427935, 90.57855375968485 23.81019604475525, 90.57887106926187 23.810528475261723, 90.57923781396349 23.809486358741104, 90.57975768817761 23.807137270704114, 90.57970144686001 23.804732001339108, 90.57872794317143 23.798016775950554, 90.57880451333658 23.78930983815491, 90.57880490000001 23.7892219, 90.57880490000001 23.78651771250244, 90.57971054295216 23.783156545475553, 90.57992871761586 23.7821384800229, 90.58011216627878 23.780994654884093, 90.5775688906162 23.77851136179802, 90.5760444053081 23.777289559874653, 90.57431145460629 23.776387486008648, 90.57243618273314 23.775839571055027, 90.5718801535293 23.775734694800253, 90.5707443328791 23.773276772075942, 90.57007362419337 23.77205647067496, 90.56504582419336 23.764250870674964, 90.56403602605221 23.7629598151801, 90.56325127610873 23.76437680093319, 90.56289604345994 23.7650826725585, 90.56275714345995 23.7653881725585, 90.56201374563669 23.767782566294574, 90.56162494563668 23.769977066294572, 90.56159778238414 23.770138019977097, 90.5602636339788 23.778456600557984, 90.55914925704785 23.782592454524444, 90.5588049 23.7851941, 90.5588049 23.7891779300725, 90.55877540236787 23.792532161417768, 90.55976869087094 23.793293344194176))"
N204,"MULTIPOLYGON (((91.48906471181233 24.268852918789353, 91.48899359823633 24.26871476526664, 91.48810469823634 24.26702036526664, 91.48806423448157 24.266944037475195, 91.48723093448156 24.265388437475195, 91.48686847789104 24.264766654356592, 91.48534067789105 24.26235005435659, 91.48410188753213 24.26076828830852, 91.48257191051664 24.259466076453165, 91.48081250567316 24.258495983683954, 91.47889469288043 24.257897168623817, 91.47658919288043 24.257424968623816, 91.47497286705688 24.257229214415577, 91.47450409277414 24.257249135427468, 91.47274919971143 24.257196755485698, 91.47031786159373 24.259989770700518, 91.47027889634272 24.260034802326803, 91.47013006609956 24.2602078420513, 91.46959234819543 24.260826178928447, 91.46845715281805 24.262424388981763, 91.46765556521548 24.264213355508772, 91.46721838994976 24.26612432952911, 91.46716242742117 24.268083873382853, 91.46748982823831 24.270016682898632, 91.4681880105714 24.271848481290686, 91.46923014366489 24.273508873574098, 91.47057617892844 24.274934051804568, 91.47217438898176 24.276069247181947, 91.47396335550877 24.276870834784518, 91.4758743295291 24.277308010050238, 91.47783387338285 24.277363972578822, 91.47976668289863 24.27703657176168, 91.48159848129069 24.276338389428606, 91.4832588735741 24.275296256335114, 91.48468405180456 24.27395022107155, 91.48523965180456 24.273311321071553, 91.48527530365728 24.273270097673198, 91.48542248807277 24.27309897149503, 91.48853713695448 24.269520998669243, 91.48911185518554 24.268946280438175, 91.48906471181233 24.268852918789353)), ((91.35877393372985 24.153986725640888, 91.35868577073319 24.152899374436142, 91.35851917073319 24.15167717443614, 91.35838875054668 24.150932165702997, 91.35822205054667 24.150154365702996, 91.35765244799838 24.14835047090781, 91.35665244799839 24.145989070907813, 91.35641772686517 24.14547566210278, 91.35558442686516 24.14378116210278, 91.35555453516788 24.143720890721788, 91.35538783516789 24.143387590721787, 91.35424800579612 24.141607876337805, 91.35275960761403 24.14010745468478, 91.35098912132977 24.13895334351053, 91.34962802132978 24.138258843510528, 91.34760144844302 24.137488623758262, 91.34562831535496 24.136975149879888, 91.34166308925609 24.135895294583605, 91.34165615258836 24.135968132270236, 91.34149168649145 24.137694680978015, 91.34138291923153 24.138782451477365, 91.34134107526286 24.139383135110908, 91.34133770714682 24.139468496433665, 91.34022511615206 24.140220649163698, 91.33884646827686 24.141614304054816, 91.33776619931548 24.14325014111591, 91.3370258233983 24.14506529604611, 91.33665379275662 24.14699001345939, 91.33666440431934 24.148950327544963, 91.33705725029006 24.15087090453187, 91.33781723381844 24.15267793772358, 91.3389151491637 24.15430198384793, 91.34030880405481 24.155680631723136, 91.3419446411159 24.15676090068451, 91.3437597960461 24.157501276601685, 91.34568451345939 24.157873307243378, 91.3504626134594 24.158317807243378, 91.35234653916773 24.15831484074858, 91.35419647649157 24.157958586945124, 91.35594676773523 24.157261689939112, 91.35753529182662 24.156248883893678, 91.35880203881939 24.155053876564704, 91.35877393372985 24.153986725640888)))"
N207,"MULTIPOLYGON (((91.68770102296122 24.622688345781736, 91.68624706582897 24.621767558196886, 91.68582299183917 24.620957084363056, 91.68447965048001 24.619338664052254, 91.68282750886452 24.618037019557, 91.68093965526468 24.61710973368133, 91.67731894718834 24.615783099237355, 91.6748649131462 24.614873135235072, 91.67455593463275 24.614764392855744, 91.66906264655431 24.61145956634624, 91.66780163599846 24.610366693413447, 91.66732714972541 24.613606512782518, 91.66728692925777 24.616196791151136, 91.66804687744994 24.622812540898924, 91.66773878016035 24.624286045481888, 91.6675275774924 24.62623497784408, 91.6677006508666 24.628187665613922, 91.66825134917029 24.630069068095498, 91.66915850937646 24.631806884046544, 91.67038726982712 24.633334330174637, 91.67189040994727 24.634592707581678, 91.67361016490506 24.635533657529624, 91.6754804454819 24.63612101983966, 91.67742937784409 24.636332222507612, 91.67938206561392 24.63615914913339, 91.68126346809551 24.635608450829714, 91.68300128404655 24.63470129062355, 91.68452873017465 24.63347253017288, 91.68578710758169 24.631969390052735, 91.68672805752963 24.630249635094952, 91.68731541983966 24.62837935451811, 91.68795431983966 24.62532375451811, 91.68815547843364 24.62373570726543, 91.6881338699272 24.62310496998202, 91.68770102296122 24.622688345781736)), ((91.52763821605627 24.303792150812953, 91.52663887621136 24.30221620488474, 91.52544391537272 24.300287959289914, 91.5240466244635 24.29851643210593, 91.52228774790659 24.297103249985256, 91.5211801113069 24.296402953348487, 91.52078978690493 24.29507283187307, 91.52073357377562 24.29488790613384, 91.51995587377561 24.29241560613384, 91.51943148484682 24.291088060847027, 91.51909808484683 24.290393660847027, 91.51801902036843 24.288637136879366, 91.5166027070901 24.28713920053387, 91.51646327914676 24.287019324027305, 91.51641731905121 24.287026357250262, 91.51510780244884 24.28611999023385, 91.51330921374498 24.285340232198518, 91.51139306117251 24.284926344244603, 91.50943298140022 24.28489423185406, 91.50750429919454 24.28524512908805, 91.505681132731 24.285965551162658, 91.50403354527435 24.28702781266157, 91.5026248526866 24.28839109147111, 91.50150919023385 24.290002997551156, 91.50072943219853 24.291801586255026, 91.5003155442446 24.293717738827493, 91.50028343185406 24.295677818599778, 91.50063432908806 24.297606500805465, 91.50135475116265 24.299429667269003, 91.50241701266157 24.301077254725644, 91.5037802914711 24.302485947313407, 91.5056135914711 24.30404144731341, 91.50579996653653 24.3041957421771, 91.50724446653653 24.3053624421771, 91.5089628973923 24.30648028409022, 91.5108731717106 24.30722421095325, 91.5128950087777 24.307562958680723, 91.51494343937145 24.307482291144826, 91.51513783937145 24.307454491144828, 91.51523487966743 24.30744012793215, 91.52031757966743 24.30666232793215, 91.52060805180521 24.306613488834866, 91.52560805180521 24.305696888834866, 91.52571035103973 24.305677276137242, 91.52884877037683 24.30517046373054, 91.52763821605627 24.303792150812953)))"
N208,"POLYGON ((91.88522562951512 24.872784377448525, 91.8836694280459 24.87109347992988, 91.88176831912259 24.8698024794291, 91.88020403248466 24.86898532856703, 91.87990721912256 24.86883027942909, 91.87818188586193 24.868124985073568, 91.87662638586193 24.867652785073567, 91.8765869804085 24.867643929992028, 91.87504823109971 24.866730574376703, 91.87485090838808 24.86639789089077, 91.87447183994766 24.86580708181417, 91.87372183994766 24.86472378181417, 91.87262837715058 24.863402709816427, 91.87132527647219 24.862287891116466, 91.86985086069753 24.8614121113295, 91.86948983447924 24.861237656175575, 91.86766948075302 24.86400838017518, 91.86687611004307 24.865467007499706, 91.86633503494062 24.867036806368606, 91.86606117305269 24.86867449694427, 91.86539447305269 24.876730096944268, 91.86542505445077 24.87869020120105, 91.86583744560649 24.880606676469355, 91.86661579855901 24.882405873679403, 91.8677302016409 24.884018650691406, 91.86913782896666 24.885383029389253, 91.87078458620756 24.886446577464735, 91.87260718940637 24.88716842336176, 91.87453559694427 24.887520826947316, 91.87649570120105 24.887490245549245, 91.87841217646937 24.88707785439352, 91.8802113736794 24.886299501440988, 91.88182415069141 24.88518509835911, 91.88318852938926 24.88377747103335, 91.88425207746474 24.882130713792442, 91.88497392336177 24.88030811059363, 91.88532632694732 24.87837970305573, 91.88573180564613 24.873480386712295, 91.88522562951512 24.872784377448525))"
