,road,chainage,lrp,lat,lon,gap,type,name,geometry,intersec_to
0,N1,81.801,LRP083a,23.4789438,91.1177216,,intersection,Box culvert,POINT (91.1177216 23.4789438),N102
1,N1,145.409,LRP148a,23.0095556,91.3813604,,intersection,Intersection with N104 / Km post missing,POINT (91.3813604 23.0095556),N104
2,N1,11.936,LRP012c,23.6904163,90.546583,,intersection,Right to Syedpur (R113) left to Joydebpur N105),POINT (90.546583 23.6904163),N105
3,N1,8.763,LRP009a,23.7060833,90.5215271,,intersection,Road to Sylhet (N2),POINT (90.5215271 23.7060833),N2
4,N1,0.0,LRPS,23.7060278,90.443333,,intersection,Start of Road  after Jatrabari Flyover infront of filling station.,POINT (90.443333 23.7060278),N8
5,N2,0.0,LRPS,23.7059167,90.5214438,,intersection,Road Start from N1 at Katchpur,POINT (90.5214438 23.7059167),N1
6,N2,85.823,LRP086a,24.0508333,91.1144444,,intersection,Road to Mainamoti(N102),POINT (91.1144444 24.0508333),N102
7,N2,11.517,LRP012c,23.7853886,90.5691104,BE,intersection,Bridge end,POINT (90.5691104 23.7853886),N105
8,N2,124.933,LRP125d,24.2212771,91.36425,,intersection,Box culvert,POINT (91.36425 24.2212771),N204
9,N2,165.116,LRP166,24.4515833,91.5718604,,intersection,Sylhet 66 km,POINT (91.5718604 24.4515833),N207
10,N2,227.587,LRP228b,24.8772216,91.8737216,BE,intersection,Bridge end,POINT (91.8737216 24.8772216),N208
