,step,avg_delay,avg_waiting,avg_driving_time,avg_speed,avg_collapsed
0,0,0,0,0.0,0.0,0
1,1,0,0,0.0,0.0,0
2,2,0,0,0.0,0.0,0
3,3,0,0,0.0,0.0,0
4,4,0,0,0.0,0.0,0
5,5,0,0,0.0,0.0,0
6,6,0,0,0.0,0.0,0
7,7,0,0,0.0,0.0,0
8,8,0,0,0.0,0.0,0
9,9,0,0,0.0,0.0,0
10,10,0,0,0.0,0.0,0
11,11,0,0,0.0,0.0,0
12,12,0,0,0.0,0.0,0
13,13,0,0,0.0,0.0,0
14,14,0,0,0.0,0.0,0
15,15,0,0,0.0,0.0,0
16,16,0,0,0.0,0.0,0
17,17,0,0,0.0,0.0,0
18,18,0,0,0.0,0.0,0
19,19,0,0,0.0,0.0,0
20,20,0,0,0.0,0.0,0
21,21,0,0,0.0,0.0,0
22,22,0,0,0.0,0.0,0
23,23,0,0,0.0,0.0,0
24,24,0,0,0.0,0.0,0
25,25,0,0,0.0,0.0,0
26,26,0,0,0.0,0.0,0
27,27,0,0,0.0,0.0,0
28,28,0,0,0.0,0.0,0
29,29,0,0,0.0,0.0,0
30,30,0,0,0.0,0.0,0
31,31,0,0,0.0,0.0,0
32,32,0,0,0.0,0.0,0
33,33,0,0,0.0,0.0,0
34,34,0,0,0.0,0.0,0
35,35,0,0,14.0,925.7657142857138,0
36,36,0,0,14.0,925.7657142857138,0
37,37,0,0,14.0,925.7657142857138,0
38,38,0,0,25.5,497.67069498069475,0
39,39,0,0,25.5,497.67069498069475,0
40,40,0,0,18.333333333333332,576.1304633204632,0
41,41,0,0,18.333333333333332,576.1304633204632,0
42,42,0,0,14.0,595.3728474903473,0
43,43,0,0,18.6,496.90779150579135,0
44,44,0,0,18.6,496.90779150579135,0
45,45,0,0,18.6,496.90779150579135,0
46,46,0,0,18.6,496.90779150579135,0
47,47,0,0,18.6,496.90779150579135,0
48,48,0,0,18.6,496.90779150579135,0
49,49,0,0,18.6,496.90779150579135,0
50,50,0,0,17.833333333333332,582.227683397683,0
51,51,0,0,17.833333333333332,582.227683397683,0
52,52,0,0,17.833333333333332,582.227683397683,0
53,53,0,0,17.833333333333332,582.227683397683,0
54,54,0,0,17.833333333333332,582.227683397683,0
55,55,0,0,17.833333333333332,582.227683397683,0
56,56,0,0,16.714285714285715,562.3103000551569,0
57,57,0,0,16.714285714285715,562.3103000551569,0
58,58,0,0,16.714285714285715,562.3103000551569,0
59,59,0,0,16.714285714285715,562.3103000551569,0
60,60,0,0,16.714285714285715,562.3103000551569,0
61,61,0,0,16.714285714285715,562.3103000551569,0
62,62,0,0,16.714285714285715,562.3103000551569,0
63,63,0,0,16.714285714285715,562.3103000551569,0
64,64,0,0,16.714285714285715,562.3103000551569,0
65,65,0,0,20.555555555555557,507.6702510129174,0
66,66,0,0,20.555555555555557,507.6702510129174,0
67,67,0,0,20.555555555555557,507.6702510129174,0
68,68,0,0,22.2,461.6261988845987,0
69,69,0,0,22.2,461.6261988845987,0
70,70,0,0,20.545454545454547,605.441998985999,0
71,71,0,0,20.545454545454547,605.441998985999,0
72,72,0,0,20.545454545454547,605.441998985999,0
73,73,0,0,20.545454545454547,605.441998985999,0
74,74,0,0,20.545454545454547,605.441998985999,0
75,75,0,0,24.583333333333332,563.6686439980352,0
76,76,0,0,24.583333333333332,563.6686439980352,0
77,77,0,0,24.583333333333332,563.6686439980352,0
78,78,0,0,28.615384615384617,528.8967103438407,0
79,79,0,0,28.615384615384617,528.8967103438407,0
80,80,0,0,30.785714285714285,502.03873708683517,0
81,81,0,0,30.785714285714285,502.03873708683517,0
82,82,0,0,30.785714285714285,502.03873708683517,0
83,83,0,0,30.785714285714285,502.03873708683517,0
84,84,0,0,30.785714285714285,502.03873708683517,0
85,85,0,0,30.785714285714285,502.03873708683517,0
86,86,0,0,34.06666666666667,475.91713794771283,0
87,87,0,0,34.06666666666667,475.91713794771283,0
88,88,0,0,36.75,450.19903760520157,0
89,89,0,0,36.75,450.19903760520157,0
90,90,0,0,36.75,450.19903760520157,0
91,91,0,0,36.75,450.19903760520157,0
92,92,0,0,36.75,450.19903760520157,0
93,93,0,0,39.11764705882353,433.1141897094028,0
94,94,0,0,40.44444444444444,412.35594107475345,0
95,95,0,0,41.05,387.1384997701714,0
96,96,0,0,41.63636363636363,384.4996415022948,0
97,97,0,0,39.869565217391305,510.76226578480373,0
98,98,0,0,39.869565217391305,510.76226578480373,0
99,99,0,0,39.869565217391305,510.76226578480373,0
100,100,0,0,40.458333333333336,506.0623565622887,0
101,101,0,0,40.458333333333336,506.0623565622887,0
102,102,0,0,40.458333333333336,506.0623565622887,0
